"filename", "language", "Python", "JSON", "pip requirements", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\backend\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\backend\asgi.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\backend\celery.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\backend\settings.py", "Python", 137, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 183
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\backend\urls.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\backend\wsgi.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\admin.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\fixtures\Country.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\fixtures\CurrencyRate.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\management\commands\fetch_country.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\currency\management\commands\fetch_currency.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
